book_id,book_name,author,description,book_type,price
41,Ramayana,"C. Rajagopalachari","The journey of Lord Rama to rescue Sita from Ravana, portraying the ideals of virtue, devotion, and righteousness.",Mythology,570
42,"The Great Gatsby","F. Scott Fitzgerald","A heartbreaking tale of love, wealth, and illusion in the Jazz Age, revealing the emptiness behind glamour and desire.",Novel,340
43,"The Power of Now","Eckhart Tolle","A guide to mindfulness and spiritual awakening that emphasizes living fully in the present moment for inner peace.","Self-Help Book",370
44,"Brief Answers to the Big Questions","Stephen Hawking","Stephen Hawking addresses profound questions about life, the universe, and humanity’s place in it with clarity and humor.","Science Book",450
45,"Rich Dad Poor Dad","Robert Kiyosaki","A personal finance classic that contrasts two father figures to teach lessons on wealth building, risk, and investing.","Self-Help Book",310
46,"Wings of Fire","A.P.J. Abdul Kalam","The autobiography of Dr. A.P.J. Abdul Kalam, India’s Missile Man, chronicling his journey from a small town to the presidency.",Biography,320
47,"The Monk Who Sold His Ferrari","Robin Sharma","A short fable that blends eastern wisdom with modern principles to reveal the keys to success and inner peace.","Self-Help Book",330
48,1984,"George Orwell","A dystopian novel set in a future where surveillance, control, and propaganda dominate every aspect of human life.",Novel,360
49,"Sapiens A Brief History of Humankind","Yuval Noah Harari","A compelling story of human evolution, tracking the rise of Homo sapiens and their impact on the world.","History Book",490
50,"The Art of War","Sun Tzu","An ancient Chinese treatise on military strategy and philosophy, offering timeless wisdom on leadership and warfare.","Philosophy Book",290
51,"Prince of Persia ","J.K Rowling",sxhgubcjjncknkdcnkd,"Story Book",299
